epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,4.0021,0.96292,2.29886,0.01337,0.56485,0.96944,0.94326,0.67022,1.58084,0.96612,0.01154,0,0,0
2,7.7987,1.1672,2.43933,0.01393,0.56485,0.96944,0.94326,0.67022,1.58084,0.96612,0.01154,3.9865e-05,3.9865e-05,3.9865e-05
3,12.3193,0.97877,2.76016,0.0208,0.87165,0.65397,0.94178,0.68518,1.57821,0.97163,0.0116,4.046e-05,4.046e-05,4.046e-05
