epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
20,1077.84,0.83363,2.89775,0.00654,0.57931,0.6317,0.71075,0.55779,0.93016,5.92147,0.00995,0.000369415,0.000369415,0.000369415
21,1140.25,0.77733,2.53274,0.00506,0.57931,0.6317,0.71075,0.55779,0.93016,5.92147,0.00995,0.00036491,0.00036491,0.00036491
22,1214.81,0.77462,2.68583,0.0058,0.76395,0.55882,0.79264,0.63804,0.93688,4.0574,0.00833,0.000360406,0.000360406,0.000360406
23,1266.97,0.71281,2.55244,0.00574,0.76395,0.55882,0.79264,0.63804,0.93688,4.0574,0.00833,0.000355901,0.000355901,0.000355901
24,1321.01,0.72251,2.51155,0.00543,0.76395,0.55882,0.79264,0.63804,0.93688,4.0574,0.00833,0.000351396,0.000351396,0.000351396
25,1374.55,0.80377,2.30035,0.00437,0.70158,0.60522,0.83612,0.72886,0.81335,3.0738,0.00749,0.000346892,0.000346892,0.000346892
26,1422.7,0.69975,2.28211,0.00413,0.70158,0.60522,0.83612,0.72886,0.81335,3.0738,0.00749,0.000342387,0.000342387,0.000342387
27,1471.9,0.67191,2.19238,0.00456,0.70158,0.60522,0.83612,0.72886,0.81335,3.0738,0.00749,0.000337883,0.000337883,0.000337883
28,1519.02,0.71964,2.25311,0.00481,0.70343,0.63494,0.84247,0.73233,0.7583,2.54593,0.00618,0.000333379,0.000333379,0.000333379
29,1565.77,0.65607,1.96947,0.00398,0.70343,0.63494,0.84247,0.73233,0.7583,2.54593,0.00618,0.000328874,0.000328874,0.000328874
30,1613.86,0.74113,2.27852,0.00528,0.70343,0.63494,0.84247,0.73233,0.7583,2.54593,0.00618,0.000324369,0.000324369,0.000324369
31,1668.04,0.69193,2.02212,0.00521,0.47532,0.88235,0.84071,0.72324,0.73509,2.39864,0.00611,0.000319865,0.000319865,0.000319865
32,1720.77,0.68421,1.94007,0.00447,0.47532,0.88235,0.84071,0.72324,0.73509,2.39864,0.00611,0.00031536,0.00031536,0.00031536
33,1769.5,0.65316,1.85414,0.00456,0.47532,0.88235,0.84071,0.72324,0.73509,2.39864,0.00611,0.000310856,0.000310856,0.000310856
34,1818.72,0.64951,1.96733,0.00434,0.50759,0.85096,0.85774,0.7316,0.73861,2.22854,0.00588,0.000306351,0.000306351,0.000306351
35,1866.12,0.64142,1.89847,0.00425,0.50759,0.85096,0.85774,0.7316,0.73861,2.22854,0.00588,0.000301847,0.000301847,0.000301847
36,1912.8,0.7336,2.11772,0.00522,0.50759,0.85096,0.85774,0.7316,0.73861,2.22854,0.00588,0.000297342,0.000297342,0.000297342
37,1958.19,0.6081,1.72635,0.00366,0.71001,0.82353,0.86847,0.74373,0.70606,2.00742,0.00561,0.000292838,0.000292838,0.000292838
38,2005.35,0.62875,1.74883,0.00457,0.71001,0.82353,0.86847,0.74373,0.70606,2.00742,0.00561,0.000288333,0.000288333,0.000288333
39,2061.1,0.61653,1.67546,0.00443,0.71001,0.82353,0.86847,0.74373,0.70606,2.00742,0.00561,0.000283829,0.000283829,0.000283829
40,2136,0.64545,1.59072,0.00364,0.78038,0.8482,0.89298,0.74607,0.70013,1.75259,0.0058,0.000279325,0.000279325,0.000279325
41,2207.65,0.63787,1.58414,0.00423,0.78038,0.8482,0.89298,0.74607,0.70013,1.75259,0.0058,0.00027482,0.00027482,0.00027482
42,2283.96,0.65482,1.58539,0.00411,0.78038,0.8482,0.89298,0.74607,0.70013,1.75259,0.0058,0.000270316,0.000270316,0.000270316
43,2358.59,0.64558,1.71397,0.00436,0.71119,0.86275,0.89296,0.7261,0.75752,1.70819,0.00662,0.000265811,0.000265811,0.000265811
44,2430.12,0.61978,1.61252,0.00408,0.71119,0.86275,0.89296,0.7261,0.75752,1.70819,0.00662,0.000261307,0.000261307,0.000261307
45,2495.99,0.6357,1.59173,0.00386,0.71119,0.86275,0.89296,0.7261,0.75752,1.70819,0.00662,0.000256802,0.000256802,0.000256802
46,2579.02,0.67027,1.73568,0.00558,0.67544,0.8717,0.8925,0.71698,0.75286,1.64093,0.00646,0.000252298,0.000252298,0.000252298
47,2659.2,0.63155,1.38692,0.004,0.67544,0.8717,0.8925,0.71698,0.75286,1.64093,0.00646,0.000247793,0.000247793,0.000247793
48,2747.96,0.61375,1.50594,0.00432,0.67544,0.8717,0.8925,0.71698,0.75286,1.64093,0.00646,0.000243289,0.000243289,0.000243289
49,2835.51,0.51274,1.44217,0.00351,0.71534,0.80333,0.8925,0.74152,0.71826,1.56298,0.00589,0.000238784,0.000238784,0.000238784
50,2907.07,0.63044,1.37604,0.00427,0.71534,0.80333,0.8925,0.74152,0.71826,1.56298,0.00589,0.00023428,0.00023428,0.00023428
51,2958.88,0.60018,1.31269,0.00377,0.71534,0.80333,0.8925,0.74152,0.71826,1.56298,0.00589,0.000229775,0.000229775,0.000229775
52,3008.44,0.62507,1.52556,0.0042,0.75495,0.78431,0.8925,0.75837,0.70756,1.47999,0.00533,0.00022527,0.00022527,0.00022527
53,3074.52,0.58148,1.4707,0.00485,0.75495,0.78431,0.8925,0.75837,0.70756,1.47999,0.00533,0.000220766,0.000220766,0.000220766
54,3142.97,0.57556,1.38091,0.00371,0.75495,0.78431,0.8925,0.75837,0.70756,1.47999,0.00533,0.000216261,0.000216261,0.000216261
55,3204.95,0.62997,1.40252,0.00379,0.7345,0.78431,0.8925,0.75549,0.69869,1.53899,0.00526,0.000211757,0.000211757,0.000211757
56,3271.54,0.55743,1.15421,0.00367,0.7345,0.78431,0.8925,0.75549,0.69869,1.53899,0.00526,0.000207252,0.000207252,0.000207252
57,3320.62,0.64696,1.33548,0.00494,0.7345,0.78431,0.8925,0.75549,0.69869,1.53899,0.00526,0.000202748,0.000202748,0.000202748
58,3365.7,0.56719,1.30686,0.00458,0.72901,0.84314,0.86324,0.7354,0.64068,1.59814,0.00563,0.000198244,0.000198244,0.000198244
59,3416.89,0.60705,1.18997,0.0039,0.72901,0.84314,0.86324,0.7354,0.64068,1.59814,0.00563,0.000193739,0.000193739,0.000193739
60,3465.58,0.66514,1.31822,0.00451,0.72901,0.84314,0.86324,0.7354,0.64068,1.59814,0.00563,0.000189235,0.000189235,0.000189235
61,3515.26,0.53496,1.19092,0.00322,0.7162,0.84314,0.86324,0.74452,0.655,1.54059,0.00514,0.00018473,0.00018473,0.00018473
62,3561.96,0.55676,1.18962,0.00435,0.7162,0.84314,0.86324,0.74452,0.655,1.54059,0.00514,0.000180226,0.000180226,0.000180226
63,3615.97,0.52115,1.17185,0.00342,0.7162,0.84314,0.86324,0.74452,0.655,1.54059,0.00514,0.000175721,0.000175721,0.000175721
64,3663.32,0.56921,1.28979,0.0036,0.71363,0.84314,0.86324,0.75685,0.63773,1.49448,0.00514,0.000171217,0.000171217,0.000171217
65,3709.41,0.62595,1.19038,0.004,0.71363,0.84314,0.86324,0.75685,0.63773,1.49448,0.00514,0.000166712,0.000166712,0.000166712
66,3756.71,0.60528,1.30273,0.00412,0.71363,0.84314,0.86324,0.75685,0.63773,1.49448,0.00514,0.000162207,0.000162207,0.000162207
67,3805.35,0.57673,1.21894,0.00426,0.62437,0.91176,0.86324,0.75199,0.59843,1.43656,0.0046,0.000157703,0.000157703,0.000157703
68,3850.54,0.60353,1.14673,0.00451,0.62437,0.91176,0.86324,0.75199,0.59843,1.43656,0.0046,0.000153198,0.000153198,0.000153198
69,3897.92,0.58066,1.04636,0.00356,0.62437,0.91176,0.86324,0.75199,0.59843,1.43656,0.0046,0.000148694,0.000148694,0.000148694
70,3946.42,0.56148,1.05999,0.00362,0.64715,0.85294,0.86809,0.75333,0.58907,1.38565,0.00435,0.00014419,0.00014419,0.00014419
71,3992.63,0.52929,1.30718,0.00368,0.64715,0.85294,0.86809,0.75333,0.58907,1.38565,0.00435,0.000139685,0.000139685,0.000139685
72,4052.02,0.50616,1.0074,0.00287,0.64715,0.85294,0.86809,0.75333,0.58907,1.38565,0.00435,0.000135181,0.000135181,0.000135181
