epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,61.5841,1.95297,5.26796,0.01921,0.00065,0.05882,0.00177,0.00073,1.41903,5.50736,0.01671,0,0,0
2,111.965,1.89496,5.35398,0.01771,0.00065,0.05882,0.00177,0.00073,1.41903,5.50736,0.01671,0.000150165,0.000150165,0.000150165
3,163.535,2.00425,5.4258,0.02002,0.00065,0.05882,0.00177,0.00073,1.41903,5.50736,0.01671,0.000297327,0.000297327,0.000297327
4,213.368,1.80745,5.11057,0.01564,0.00935,0.26471,0.05396,0.03846,1.21625,4.69081,0.01435,0.000441486,0.000441486,0.000441486
5,261.833,1.55014,4.42728,0.01171,0.00935,0.26471,0.05396,0.03846,1.21625,4.69081,0.01435,0.000436982,0.000436982,0.000436982
6,310.571,1.57642,4.57871,0.0128,0.00935,0.26471,0.05396,0.03846,1.21625,4.69081,0.01435,0.000432478,0.000432478,0.000432478
7,362.884,1.44972,4.33692,0.0121,0.84595,0.11765,0.18092,0.13468,1.20015,4.73385,0.01105,0.000427973,0.000427973,0.000427973
8,412.598,0.99254,3.89657,0.00787,0.84595,0.11765,0.18092,0.13468,1.20015,4.73385,0.01105,0.000423468,0.000423468,0.000423468
9,462.852,0.93579,3.99043,0.00752,0.84595,0.11765,0.18092,0.13468,1.20015,4.73385,0.01105,0.000418964,0.000418964,0.000418964
10,512.633,0.91567,3.95759,0.00683,0.59891,0.33245,0.46338,0.29154,1.22594,4.81063,0.01126,0.00041446,0.00041446,0.00041446
11,567.483,1.1017,3.64565,0.00729,0.59891,0.33245,0.46338,0.29154,1.22594,4.81063,0.01126,0.000409955,0.000409955,0.000409955
12,615.944,1.09362,3.88238,0.00785,0.59891,0.33245,0.46338,0.29154,1.22594,4.81063,0.01126,0.000405451,0.000405451,0.000405451
13,662.99,1.0965,3.74439,0.00805,0.84466,0.24505,0.54204,0.39245,1.21664,5.05476,0.00983,0.000400946,0.000400946,0.000400946
14,710.696,1.06748,3.5931,0.00857,0.84466,0.24505,0.54204,0.39245,1.21664,5.05476,0.00983,0.000396441,0.000396441,0.000396441
15,772.731,1.01098,3.2391,0.00689,0.84466,0.24505,0.54204,0.39245,1.21664,5.05476,0.00983,0.000391937,0.000391937,0.000391937
16,849.35,0.97096,3.23998,0.006,0.50631,0.64706,0.63976,0.46708,0.96269,6.42461,0.0081,0.000387433,0.000387433,0.000387433
17,907.016,0.80696,2.93722,0.00604,0.50631,0.64706,0.63976,0.46708,0.96269,6.42461,0.0081,0.000382928,0.000382928,0.000382928
18,965.178,0.82426,2.8303,0.00625,0.50631,0.64706,0.63976,0.46708,0.96269,6.42461,0.0081,0.000378423,0.000378423,0.000378423
19,1024.53,0.89426,2.88049,0.00656,0.57931,0.6317,0.71075,0.55779,0.93016,5.92147,0.00995,0.000373919,0.000373919,0.000373919
